age,gender,grade_level,study_hours_per_day,uses_ai,ai_usage_time_minutes,ai_tools_used,ai_usage_purpose,ai_dependency_score,ai_generated_content_percentage,ai_prompts_per_week,ai_ethics_score,concept_understanding_score,study_consistency_index,improvement_rate,sleep_hours,social_media_hours,tutoring_hours,class_participation_score,final_score
19,Female,1st Year,3.8,0,129,Gemini,Doubt Solving,3,17,51,9,9,5.6,21.6,6.7,3.9,3.8,1,76.0
18,Male,3rd Year,1.9,1,4,Unknown,Notes,2,56,106,2,5,2.4,19.3,6.3,5.8,0.6,9,54.5
24,Female,1st Year,4.7,0,16,Copilot,Doubt Solving,8,73,45,5,4,7.0,-11.0,4.2,2.4,1.5,7,49.7
18,Male,10th,3.9,0,23,Unknown,Coding,3,43,16,6,1,3.1,-9.9,5.4,3.2,2.1,2,44.6
17,Male,12th,0.6,0,135,Gemini,Unknown,2,97,104,10,10,1.3,19.5,5.9,2.2,0.6,3,48.8
16,Male,1st Year,3.8,0,157,ChatGPT+Gemini,Homework,6,60,84,1,6,8.8,-5.7,8.0,3.9,0.6,7,40.6
16,Male,11th,3.2,0,177,ChatGPT,Unknown,7,96,29,7,6,4.9,6.5,6.0,1.8,3.9,9,72.0
17,Female,2nd Year,1.6,1,149,Copilot,Notes,9,62,48,8,7,8.0,29.3,8.7,1.6,0.9,5,72.9
22,Female,12th,6.0,1,58,Claude,Homework,10,31,50,1,7,8.7,-3.6,7.7,4.4,4.5,2,60.2
15,Male,3rd Year,5.4,1,151,ChatGPT,Coding,4,94,32,10,2,6.2,0.6,8.1,5.9,1.1,5,31.7
22,Female,11th,2.1,1,25,Gemini,Notes,5,27,108,4,6,1.9,-1.2,8.5,1.0,2.5,6,65.4
14,Male,10th,3.5,1,60,ChatGPT+Gemini,Coding,6,3,86,2,3,3.9,24.8,5.0,5.2,1.1,1,54.4
14,Female,1st Year,2.2,1,135,ChatGPT+Gemini,Exam Prep,3,14,57,5,2,3.3,-0.7,8.0,5.6,4.7,7,48.2
18,Male,11th,4.8,0,11,ChatGPT+Gemini,Exam Prep,3,1,105,2,4,6.4,3.0,5.0,4.6,2.7,3,66.3
19,Female,12th,5.6,0,13,Gemini,Exam Prep,3,22,92,9,7,4.7,13.3,6.7,2.4,2.8,6,42.6
19,Female,11th,2.5,1,29,Copilot,Homework,5,58,105,9,5,4.7,10.7,5.5,0.4,4.4,8,48.6
16,Female,10th,4.9,1,98,Claude,Unknown,6,22,38,10,7,6.9,-3.5,6.5,0.2,0.7,6,75.0
20,Female,2nd Year,3.2,1,61,ChatGPT,Unknown,9,98,101,5,10,1.3,16.6,5.1,3.6,0.4,3,43.7
22,Female,1st Year,2.7,1,30,Gemini,Exam Prep,9,90,70,5,4,2.2,1.3,8.8,4.7,4.9,4,49.8
24,Other,12th,5.7,0,26,ChatGPT+Gemini,Exam Prep,5,25,36,4,1,9.0,7.5,7.3,1.8,4.6,4,39.8
23,Female,1st Year,3.3,1,0,Claude,Coding,8,33,70,1,6,8.5,2.6,5.3,2.7,1.3,3,53.2
21,Female,1st Year,3.1,1,40,ChatGPT+Gemini,Doubt Solving,7,12,14,10,8,9.5,27.1,5.2,1.5,3.0,4,67.0
19,Female,3rd Year,4.2,1,141,Gemini,Doubt Solving,4,39,60,3,1,2.9,12.4,4.8,4.9,3.5,2,29.0
21,Male,1st Year,1.9,1,73,ChatGPT+Gemini,Unknown,1,50,92,4,7,4.1,39.3,7.9,4.8,4.6,6,43.7
18,Female,11th,2.3,0,177,Gemini,Unknown,3,9,9,7,7,2.0,9.6,6.4,4.4,1.1,3,42.4
21,Male,11th,5.6,0,41,ChatGPT+Gemini,Exam Prep,10,38,19,7,1,6.8,33.4,8.5,5.1,3.9,10,63.6
23,Female,2nd Year,4.2,0,39,Gemini,Unknown,5,89,108,7,2,8.0,14.4,4.0,0.9,0.9,5,58.5
17,Female,10th,5.0,0,13,ChatGPT+Gemini,Doubt Solving,10,3,8,7,10,6.6,33.6,6.5,2.7,2.8,4,80.6
23,Female,12th,2.0,0,99,Claude,Exam Prep,3,81,69,4,2,6.4,19.8,6.4,4.9,1.0,6,70.5
21,Male,11th,3.5,1,90,Claude,Exam Prep,4,98,19,9,10,8.2,-12.8,8.9,5.7,1.5,4,83.2
23,Male,1st Year,5.8,1,138,ChatGPT+Gemini,Homework,9,51,63,4,4,1.8,-14.4,7.6,4.8,2.7,6,38.3
15,Female,10th,2.3,1,105,ChatGPT+Gemini,Notes,9,80,84,6,2,7.7,25.9,6.7,5.4,1.6,10,34.9
18,Female,12th,1.4,1,48,Gemini,Doubt Solving,9,55,119,1,5,9.0,21.0,6.9,0.1,5.0,6,37.7
22,Male,12th,3.3,0,164,Gemini,Exam Prep,9,26,6,1,8,6.8,7.0,7.5,4.5,3.2,6,55.7
17,Male,12th,2.6,0,105,Gemini,Doubt Solving,1,7,101,6,2,7.2,5.8,8.6,0.8,4.2,10,68.2
24,Female,12th,1.4,1,137,Copilot,Homework,9,52,63,1,8,6.8,19.6,4.3,4.5,1.0,6,59.6
19,Female,2nd Year,5.4,0,6,ChatGPT+Gemini,Homework,2,12,47,1,4,8.4,13.3,4.3,0.4,0.7,6,48.6
14,Male,12th,5.9,1,80,Unknown,Exam Prep,8,45,97,6,7,4.6,-7.8,5.0,1.8,1.4,2,83.4
22,Male,10th,3.6,1,139,ChatGPT+Gemini,Doubt Solving,9,85,46,8,6,8.7,32.5,6.2,4.1,4.1,3,62.0
14,Male,11th,4.8,1,100,ChatGPT+Gemini,Doubt Solving,8,35,63,9,4,3.4,22.2,5.7,1.2,1.0,2,67.6
18,Other,10th,5.2,1,54,ChatGPT+Gemini,Doubt Solving,9,42,66,6,6,2.0,19.1,4.3,4.7,1.2,4,56.3
17,Male,1st Year,4.4,0,163,Gemini,Homework,5,93,44,1,3,1.6,8.6,7.0,0.5,3.7,6,44.0
16,Male,3rd Year,0.7,1,6,Gemini,Coding,10,34,16,7,10,1.9,36.7,8.2,5.0,4.0,2,86.6
19,Male,2nd Year,1.4,0,151,Copilot,Coding,7,50,50,2,4,5.1,-19.3,4.3,3.4,2.7,10,45.8
15,Male,2nd Year,0.9,0,33,Gemini,Doubt Solving,3,62,42,7,4,6.4,21.9,6.6,0.1,0.7,7,43.0
16,Female,1st Year,0.6,1,125,Unknown,Doubt Solving,4,67,65,10,9,6.7,39.0,8.9,1.5,4.2,4,67.3
18,Male,10th,2.2,1,28,ChatGPT+Gemini,Notes,4,12,105,10,1,6.1,15.4,4.3,2.9,2.9,6,51.7
22,Male,10th,2.7,1,25,ChatGPT+Gemini,Exam Prep,10,46,75,4,8,2.9,15.6,5.5,3.9,4.7,1,46.2
15,Male,1st Year,1.8,1,73,ChatGPT,Homework,4,5,12,1,9,8.8,27.6,6.2,4.0,1.0,2,50.1
23,Male,3rd Year,0.9,1,44,Gemini,Notes,8,17,101,9,8,2.9,-18.6,4.9,5.4,0.7,8,71.9
21,Male,12th,3.4,1,16,ChatGPT,Doubt Solving,2,7,99,1,5,8.4,-13.1,6.8,2.6,1.1,7,66.3
15,Female,12th,2.0,1,163,ChatGPT+Gemini,Unknown,2,40,75,7,8,7.4,30.7,8.3,0.1,1.0,4,60.8
24,Female,11th,4.9,1,62,Gemini,Coding,5,60,26,6,5,4.2,19.4,5.8,1.6,4.0,6,67.9
18,Female,10th,0.5,1,150,ChatGPT+Gemini,Coding,6,19,89,7,7,4.8,39.0,4.0,0.6,0.5,3,43.0
20,Female,10th,5.1,1,92,ChatGPT,Notes,4,84,46,10,4,8.3,4.4,7.1,5.0,4.1,8,62.0
21,Female,1st Year,5.8,1,65,ChatGPT,Coding,7,95,114,1,10,9.9,6.8,8.4,0.9,3.2,7,45.0
14,Male,1st Year,4.4,0,91,Claude,Coding,10,55,39,1,6,3.2,19.8,8.0,2.1,4.6,9,56.6
19,Female,12th,4.5,0,116,Claude,Unknown,4,95,68,6,6,7.2,-9.2,7.3,0.9,2.3,5,60.9
14,Female,10th,5.6,1,41,Gemini,Exam Prep,8,1,31,8,6,1.7,-2.7,7.9,3.1,1.3,2,53.1
15,Female,10th,1.6,1,70,Gemini,Doubt Solving,2,65,99,3,1,1.7,31.6,5.6,1.2,4.5,3,44.4
14,Female,2nd Year,6.0,1,74,Gemini,Notes,10,31,44,10,3,5.1,28.2,6.4,4.6,0.0,6,45.0
24,Male,11th,4.8,1,70,Gemini,Unknown,4,21,101,2,1,1.2,14.3,5.9,2.9,4.6,1,60.1
18,Female,11th,4.5,0,42,Gemini,Homework,7,89,115,4,9,9.2,1.5,4.2,3.0,3.1,2,60.2
23,Female,12th,2.5,0,54,Gemini,Homework,5,40,79,8,3,4.5,18.2,5.2,5.7,0.8,1,52.7
22,Other,3rd Year,3.5,1,55,Unknown,Unknown,10,9,73,9,8,4.4,-9.6,6.5,1.9,1.5,10,77.3
19,Male,10th,4.1,1,78,Gemini,Doubt Solving,2,38,36,6,5,3.9,6.0,7.2,2.3,3.0,3,46.8
24,Male,2nd Year,3.9,1,158,ChatGPT,Homework,3,44,14,7,7,3.7,10.2,4.1,3.6,0.5,8,41.0
24,Male,10th,4.4,0,82,ChatGPT,Unknown,4,4,74,1,2,1.8,7.7,8.6,2.0,0.3,4,49.8
14,Female,1st Year,1.0,1,120,ChatGPT,Coding,5,11,115,5,4,6.5,5.1,7.0,5.0,2.6,7,46.0
14,Male,12th,2.5,1,175,Unknown,Exam Prep,7,31,8,6,4,3.3,2.5,8.2,3.3,0.2,9,64.3
15,Male,3rd Year,2.9,1,179,ChatGPT+Gemini,Notes,3,39,81,10,2,4.1,14.7,4.9,0.0,3.9,5,48.5
22,Other,11th,1.9,1,71,Copilot,Notes,9,17,96,6,10,4.0,1.5,7.1,1.9,3.5,4,60.4
16,Male,10th,1.4,1,0,ChatGPT+Gemini,Coding,10,73,54,6,9,4.1,15.4,4.4,3.0,4.6,9,77.9
14,Female,3rd Year,1.3,1,129,Gemini,Doubt Solving,3,63,8,7,2,8.9,11.2,6.3,4.7,4.1,10,55.3
18,Male,12th,2.5,1,92,Copilot,Exam Prep,5,86,63,4,1,5.2,1.2,7.5,4.4,0.3,5,21.9
20,Female,11th,3.2,0,41,ChatGPT,Homework,5,0,40,5,5,5.6,27.1,7.3,4.0,1.0,9,70.7
19,Female,10th,0.8,1,73,ChatGPT,Notes,7,52,14,6,8,8.1,-17.4,5.2,5.0,1.0,10,58.5
14,Female,2nd Year,5.7,0,8,Claude,Notes,6,41,35,9,8,3.8,-3.8,4.6,1.3,2.2,4,77.5
18,Female,12th,4.7,1,113,Gemini,Doubt Solving,3,100,35,4,5,7.8,9.7,5.8,2.8,2.7,10,55.9
18,Male,10th,4.5,1,30,Gemini,Exam Prep,1,81,64,4,1,2.6,34.8,7.1,3.2,2.3,10,51.0
19,Male,11th,1.5,1,95,Claude,Unknown,6,93,27,7,7,7.4,-15.7,4.4,5.8,1.1,9,47.4
16,Male,11th,3.8,0,1,ChatGPT+Gemini,Homework,6,82,32,1,7,2.3,15.0,8.2,5.9,4.6,10,67.2
18,Female,2nd Year,3.4,0,23,Claude,Notes,4,37,64,7,10,7.2,-9.8,6.5,3.0,0.2,7,68.2
20,Female,12th,5.9,0,170,Unknown,Notes,2,16,53,8,7,5.2,-19.3,8.3,0.9,0.2,9,78.5
18,Male,12th,4.6,0,42,Gemini,Homework,9,61,5,2,6,1.6,32.0,7.2,5.3,3.8,4,48.1
18,Female,3rd Year,3.7,0,50,Unknown,Exam Prep,6,27,74,4,2,6.4,32.6,8.9,0.2,1.4,10,54.2
18,Male,10th,5.2,1,173,Unknown,Exam Prep,1,21,47,4,8,7.2,-3.5,6.5,2.7,3.7,7,52.5
23,Female,3rd Year,1.4,1,74,Unknown,Exam Prep,8,45,90,10,1,2.8,31.6,7.6,3.0,1.5,3,53.7
23,Other,11th,0.6,1,98,ChatGPT,Notes,10,37,68,10,1,9.4,2.6,6.5,0.9,2.8,10,58.6
16,Male,11th,4.3,0,0,Claude,Unknown,7,31,73,6,7,3.0,-17.2,4.8,2.2,4.3,3,59.3
14,Female,2nd Year,1.0,0,123,Copilot,Coding,6,54,27,7,1,3.8,-6.5,4.4,4.0,0.9,10,59.0
18,Male,2nd Year,1.1,0,116,ChatGPT,Notes,1,88,15,7,4,7.6,19.0,5.2,4.2,3.6,10,51.9
22,Female,12th,4.6,0,86,ChatGPT+Gemini,Doubt Solving,10,8,106,4,10,2.8,-7.6,6.9,4.7,4.1,3,64.6
14,Female,3rd Year,2.0,1,128,ChatGPT,Doubt Solving,5,99,25,3,6,9.3,14.6,8.2,3.4,4.9,3,60.1
16,Male,11th,4.0,0,117,ChatGPT+Gemini,Unknown,4,49,49,4,5,6.8,-9.0,4.7,1.8,1.0,10,50.7
17,Male,10th,5.5,1,62,ChatGPT,Notes,7,36,53,9,9,7.7,-7.5,8.6,0.1,2.5,4,65.5
14,Male,1st Year,2.2,1,75,Gemini,Notes,2,64,91,10,8,2.1,20.5,6.4,3.6,1.5,10,58.7
14,Female,10th,1.7,1,167,Unknown,Homework,1,92,77,7,3,8.4,32.2,6.5,3.4,2.2,10,61.6
21,Female,2nd Year,1.1,1,94,ChatGPT+Gemini,Exam Prep,7,78,12,3,3,6.1,24.9,4.2,3.8,0.3,2,42.8
15,Male,10th,1.2,0,156,ChatGPT+Gemini,Unknown,8,43,64,3,6,7.9,-16.5,8.8,5.6,4.5,6,46.5
21,Female,11th,0.8,1,34,Claude,Homework,5,59,34,5,3,1.6,35.4,4.3,1.4,1.6,9,57.6
20,Female,3rd Year,1.0,0,91,ChatGPT,Unknown,8,28,78,8,1,6.5,-10.4,5.5,4.2,4.9,7,44.0
23,Male,12th,2.9,0,84,ChatGPT+Gemini,Doubt Solving,4,84,28,5,6,7.2,23.6,7.2,1.2,2.2,5,37.6
23,Male,3rd Year,2.3,0,138,ChatGPT+Gemini,Doubt Solving,8,62,30,6,1,5.5,23.7,7.2,4.7,1.8,2,49.0
15,Female,1st Year,4.4,0,138,ChatGPT,Coding,3,75,11,9,2,8.5,7.1,6.1,0.2,2.5,10,45.2
19,Female,12th,5.3,1,55,ChatGPT,Exam Prep,7,25,68,9,9,9.5,13.8,8.3,1.6,0.7,5,53.7
19,Male,1st Year,4.8,1,6,Copilot,Exam Prep,6,44,111,6,2,3.0,-14.2,5.7,1.5,4.2,9,70.0
16,Male,1st Year,3.4,1,50,Claude,Unknown,1,94,109,5,2,1.5,38.4,4.8,5.1,4.0,1,47.1
24,Male,11th,1.1,1,38,ChatGPT+Gemini,Doubt Solving,5,34,31,8,5,8.0,-16.1,4.2,3.3,4.1,10,57.9
15,Female,11th,4.4,1,41,ChatGPT,Homework,4,77,9,1,4,5.3,34.6,4.7,2.5,2.1,6,55.3
14,Male,2nd Year,2.5,1,71,ChatGPT+Gemini,Notes,6,6,4,3,4,1.5,-5.1,8.8,1.5,1.8,4,61.4
19,Male,2nd Year,1.0,1,52,Copilot,Exam Prep,9,66,26,6,10,1.8,3.5,5.6,1.9,4.8,6,76.6
18,Female,1st Year,5.1,1,90,Copilot,Notes,4,52,38,8,3,3.0,25.5,7.3,4.3,2.8,4,57.2
24,Female,3rd Year,2.4,1,148,ChatGPT+Gemini,Doubt Solving,2,40,20,6,4,1.0,32.7,8.8,5.1,4.4,3,58.3
22,Male,2nd Year,1.7,1,29,Claude,Coding,8,3,15,10,7,5.2,21.7,8.4,0.6,1.3,2,52.6
14,Male,11th,5.3,1,122,Gemini,Doubt Solving,1,1,28,6,3,4.3,-12.7,6.5,0.1,2.7,9,59.3
20,Female,2nd Year,5.5,0,128,ChatGPT+Gemini,Notes,6,34,78,4,6,1.4,1.1,4.4,3.3,3.4,2,63.2
18,Male,1st Year,2.4,0,23,Copilot,Doubt Solving,4,32,101,7,3,3.2,16.6,7.6,5.0,0.5,5,55.7
18,Male,12th,2.5,1,124,Claude,Exam Prep,6,100,70,7,6,7.7,39.2,4.7,0.1,4.4,7,64.9
15,Female,3rd Year,3.7,1,133,Unknown,Unknown,3,49,81,1,10,8.3,4.3,4.7,3.5,2.2,7,71.1
24,Male,3rd Year,4.5,1,5,ChatGPT,Unknown,9,12,114,3,1,1.0,-1.8,8.4,4.9,4.0,2,48.6
16,Female,10th,0.8,1,126,Unknown,Notes,3,6,82,9,3,2.0,-3.2,7.3,0.7,4.0,2,38.7
20,Female,2nd Year,3.8,0,116,Claude,Notes,3,38,80,6,4,10.0,31.2,8.7,2.2,3.4,1,61.5
19,Male,3rd Year,5.7,1,34,Claude,Coding,5,90,13,4,4,6.8,-9.8,8.8,0.6,1.9,8,62.7
15,Male,11th,1.9,1,127,ChatGPT+Gemini,Exam Prep,7,48,40,8,4,7.2,18.7,6.3,0.2,2.8,2,43.1
19,Female,12th,5.5,1,78,Claude,Homework,6,2,111,7,1,4.4,30.9,7.3,3.0,4.0,10,43.6
15,Female,11th,5.7,0,34,ChatGPT,Coding,7,16,73,10,2,5.5,31.2,7.3,4.0,0.5,10,59.1
15,Female,2nd Year,2.0,1,47,Unknown,Exam Prep,9,24,88,6,1,5.6,-12.2,4.6,5.5,4.1,2,40.7
15,Female,1st Year,4.6,0,113,ChatGPT+Gemini,Unknown,3,93,40,4,4,4.1,27.6,7.1,1.9,1.4,9,60.5
24,Male,10th,1.8,1,104,Copilot,Homework,5,13,43,4,9,7.2,35.2,4.6,1.6,1.9,7,48.2
16,Female,10th,4.6,1,71,ChatGPT,Unknown,5,92,72,8,8,6.2,27.0,8.3,3.7,1.4,4,50.1
15,Male,12th,4.9,0,42,ChatGPT+Gemini,Notes,3,4,15,3,1,9.5,22.1,8.6,5.7,4.9,7,59.6
17,Male,3rd Year,1.9,1,34,ChatGPT+Gemini,Unknown,10,70,111,9,8,1.1,11.0,5.9,1.1,3.6,10,70.6
22,Male,3rd Year,4.4,1,132,Gemini,Coding,9,82,23,8,2,9.0,26.1,7.5,0.7,5.0,8,71.2
19,Male,3rd Year,5.0,0,30,ChatGPT,Notes,9,32,20,4,5,9.5,14.6,7.5,5.1,0.5,4,65.7
14,Female,10th,2.5,1,105,Claude,Notes,6,84,58,3,9,2.3,4.5,4.3,0.8,4.8,6,59.6
21,Male,1st Year,1.4,0,158,ChatGPT,Notes,5,50,118,4,9,3.0,9.6,4.8,2.6,1.1,4,45.9
20,Male,3rd Year,1.0,0,100,ChatGPT,Exam Prep,4,84,97,2,1,1.5,19.3,8.4,4.7,0.1,4,25.8
23,Male,11th,3.7,1,7,Gemini,Homework,4,16,38,6,9,3.1,13.5,5.0,2.3,1.1,10,48.9
16,Female,3rd Year,5.9,1,5,Claude,Exam Prep,5,86,115,3,6,6.8,20.1,7.8,3.9,0.9,3,45.1
14,Female,1st Year,5.0,1,86,Unknown,Notes,2,60,70,3,1,3.0,38.9,7.0,4.8,3.7,8,47.1
18,Male,12th,2.9,0,79,Gemini,Coding,8,90,6,1,7,8.7,-4.3,7.6,3.2,3.4,10,56.2
17,Male,12th,3.5,1,43,Gemini,Unknown,7,30,27,8,3,9.2,39.7,4.7,1.2,1.8,1,25.7
23,Male,10th,2.0,1,176,Gemini,Notes,7,14,50,8,5,1.2,-16.8,8.0,1.4,0.9,1,45.9
21,Female,1st Year,1.4,0,135,ChatGPT,Homework,1,39,34,9,4,5.6,16.5,5.8,5.9,1.8,2,85.9
14,Female,11th,3.2,1,63,Unknown,Exam Prep,8,64,57,5,3,1.1,36.0,8.9,4.9,4.8,1,43.5
23,Female,1st Year,3.0,0,131,Gemini,Homework,1,19,9,4,3,6.6,-13.9,6.2,1.9,1.5,5,55.3
14,Female,11th,3.4,0,31,Copilot,Exam Prep,9,33,37,9,4,4.1,39.4,5.6,1.1,3.4,8,68.1
17,Male,11th,5.7,1,52,Claude,Unknown,6,64,31,3,3,8.6,35.1,4.7,1.7,1.7,8,50.6
21,Female,1st Year,3.8,1,112,Unknown,Homework,8,31,61,4,6,9.3,31.2,4.4,4.9,4.0,8,78.5
18,Female,2nd Year,3.8,0,62,Claude,Homework,1,21,97,8,2,5.5,11.6,8.4,3.6,2.9,5,45.0
15,Male,1st Year,1.2,1,113,Unknown,Exam Prep,6,61,87,2,1,9.6,-7.2,4.6,4.1,3.3,1,52.8
19,Male,11th,6.0,0,76,Gemini,Exam Prep,1,92,119,3,9,8.8,-14.6,8.4,3.9,0.2,3,58.9
18,Female,3rd Year,4.8,1,160,Unknown,Exam Prep,3,44,115,3,7,1.9,-16.1,6.8,5.1,3.7,8,50.2
15,Female,12th,5.3,0,21,ChatGPT,Doubt Solving,2,10,49,8,1,4.2,15.3,7.3,5.9,1.3,7,63.6
24,Male,12th,2.8,1,126,Unknown,Unknown,2,32,40,2,8,4.1,22.1,8.0,3.8,3.2,3,56.3
24,Female,10th,3.3,0,30,ChatGPT+Gemini,Homework,4,37,46,8,1,3.7,-6.8,6.7,3.6,2.1,5,51.2
24,Female,12th,3.4,1,23,ChatGPT+Gemini,Doubt Solving,7,64,109,7,1,8.2,9.4,6.5,0.7,1.6,10,12.7
16,Male,2nd Year,1.6,1,2,ChatGPT,Doubt Solving,3,62,104,1,6,3.7,11.7,7.9,5.5,1.8,6,45.9
22,Male,11th,4.3,0,32,Gemini,Notes,7,37,1,8,10,4.4,33.8,6.1,0.4,0.6,9,51.4
20,Male,1st Year,5.5,0,153,Gemini,Doubt Solving,9,72,41,1,9,1.8,-12.4,4.4,4.1,0.7,10,50.1
20,Female,1st Year,1.4,1,50,Copilot,Doubt Solving,4,12,3,9,3,5.7,27.9,7.2,4.5,0.6,1,33.0
24,Male,2nd Year,1.0,0,29,ChatGPT+Gemini,Exam Prep,7,47,0,1,2,2.1,26.3,4.2,2.0,3.4,9,57.9
19,Male,12th,4.6,1,162,ChatGPT+Gemini,Exam Prep,1,23,21,5,10,8.8,20.9,7.0,0.6,1.4,6,67.7
21,Female,11th,2.0,1,24,Claude,Coding,2,35,10,8,1,8.2,-5.1,6.6,2.5,4.8,4,52.9
17,Female,12th,3.9,1,27,Gemini,Unknown,8,19,111,4,6,3.7,-16.9,5.5,1.4,4.1,2,40.3
21,Male,10th,4.3,1,96,ChatGPT,Homework,3,42,10,6,5,1.0,27.0,5.7,3.6,1.7,9,35.1
17,Male,12th,2.3,1,86,Gemini,Unknown,5,56,108,1,10,1.6,13.6,6.3,0.2,2.6,5,73.6
21,Female,10th,5.0,1,25,Gemini,Doubt Solving,8,64,13,3,7,3.0,17.7,6.5,0.3,3.9,6,51.4
22,Female,1st Year,3.5,1,119,Copilot,Doubt Solving,5,59,90,5,5,5.5,31.1,6.1,3.4,0.7,2,57.0
16,Female,11th,5.3,1,135,Unknown,Homework,1,98,96,2,6,7.6,-12.1,6.0,0.8,0.9,4,53.9
16,Male,3rd Year,4.7,0,100,Unknown,Unknown,2,42,91,1,2,1.9,-7.6,5.6,2.2,1.9,1,35.0
24,Female,10th,5.3,1,96,ChatGPT,Exam Prep,10,83,86,9,1,7.4,5.3,7.2,5.2,2.6,8,30.2
15,Female,12th,0.6,1,14,Copilot,Exam Prep,3,64,72,8,6,5.9,1.2,6.0,0.1,0.6,6,56.1
23,Female,12th,1.8,1,48,Copilot,Homework,10,45,58,3,2,6.6,37.0,5.6,0.9,2.3,8,51.1
16,Female,1st Year,1.0,0,110,Copilot,Homework,2,61,17,6,3,9.4,-0.9,8.5,5.4,1.0,3,67.3
16,Male,2nd Year,2.9,1,7,Unknown,Exam Prep,9,69,60,8,1,9.6,34.0,4.9,2.3,4.4,4,61.3
18,Male,3rd Year,5.4,1,84,Copilot,Homework,5,25,106,6,8,7.6,11.9,4.7,2.2,4.7,7,56.3
18,Female,2nd Year,3.1,1,127,Gemini,Unknown,1,28,23,8,7,7.2,-14.2,7.9,3.3,3.7,6,78.5
15,Female,12th,5.2,1,130,Unknown,Exam Prep,8,40,26,3,10,7.9,20.4,4.6,2.6,0.7,5,67.0
23,Female,2nd Year,2.3,0,136,Unknown,Homework,3,14,34,4,8,7.1,24.8,5.4,4.6,3.4,4,41.0
19,Male,3rd Year,2.4,0,13,Claude,Exam Prep,9,100,116,8,5,1.1,-10.2,5.8,1.7,2.7,2,57.9
18,Female,3rd Year,5.4,1,90,Gemini,Coding,9,18,67,10,6,10.0,5.2,5.4,0.9,4.2,8,46.3
19,Female,11th,2.8,1,147,Copilot,Exam Prep,6,72,21,10,3,6.7,-11.1,7.7,3.3,1.9,8,41.1
14,Male,2nd Year,4.8,1,3,Copilot,Exam Prep,4,58,10,8,7,5.4,-9.4,5.0,2.8,4.9,7,63.9
18,Male,11th,1.8,1,151,Claude,Doubt Solving,9,80,70,6,4,5.1,21.3,7.4,2.2,4.0,1,67.0
22,Female,12th,5.7,1,75,ChatGPT+Gemini,Unknown,9,95,104,10,2,3.1,9.7,5.5,2.3,1.0,10,48.3
23,Female,12th,3.7,0,27,ChatGPT,Exam Prep,2,27,57,6,7,5.3,-18.1,8.3,5.5,3.3,5,71.5
15,Female,12th,4.7,1,98,Copilot,Homework,10,14,100,9,6,7.6,36.1,8.4,4.8,2.6,9,59.1
14,Female,1st Year,1.0,0,158,Copilot,Notes,6,57,97,8,1,3.3,21.4,5.4,1.2,3.7,10,28.6
23,Male,2nd Year,3.2,1,66,Gemini,Homework,4,52,75,3,9,8.6,-16.8,7.0,2.7,1.9,1,90.7
24,Male,10th,5.5,1,116,Copilot,Doubt Solving,3,41,3,7,9,2.9,23.2,8.1,4.5,0.1,6,47.7
22,Female,3rd Year,5.3,0,16,Copilot,Homework,10,27,108,9,10,8.7,30.3,4.4,3.1,1.9,9,87.9
23,Female,10th,0.8,1,133,ChatGPT,Coding,6,72,65,10,3,6.3,4.3,6.8,5.6,3.3,10,35.5
22,Female,12th,2.2,0,106,Gemini,Notes,8,90,110,3,10,8.5,25.3,8.9,4.3,0.7,5,45.1
22,Female,2nd Year,2.9,0,80,ChatGPT+Gemini,Notes,9,18,64,9,1,4.8,-2.6,5.8,0.8,4.7,7,57.3
19,Male,11th,1.4,0,10,Copilot,Unknown,9,70,17,5,7,3.9,-12.7,7.6,2.4,1.7,6,65.9
21,Female,10th,4.5,1,165,Copilot,Doubt Solving,2,88,58,10,4,7.3,38.2,8.0,5.1,3.0,9,56.8
24,Male,12th,1.5,0,100,ChatGPT+Gemini,Unknown,8,93,22,9,3,4.3,-19.7,7.7,2.4,0.6,1,30.8
14,Male,10th,2.4,1,161,Claude,Notes,8,76,97,1,8,9.6,11.4,8.7,3.1,0.1,10,50.0
23,Male,10th,4.1,1,174,ChatGPT+Gemini,Exam Prep,5,1,3,4,9,7.7,-14.1,7.8,4.9,2.6,1,64.9
17,Male,3rd Year,3.2,0,159,ChatGPT+Gemini,Doubt Solving,4,17,52,9,8,4.9,15.8,8.7,0.1,2.4,5,85.0
14,Male,10th,4.6,1,106,Gemini,Unknown,9,39,114,9,4,2.6,-19.7,5.2,0.5,5.0,8,63.9
21,Male,12th,5.8,1,119,Unknown,Coding,4,52,115,6,7,6.0,-16.3,7.0,1.6,4.1,5,45.0
14,Male,3rd Year,1.1,1,173,ChatGPT+Gemini,Notes,10,7,105,10,2,6.4,22.3,5.9,4.6,3.5,4,49.6
16,Male,12th,4.4,0,162,Gemini,Notes,4,83,108,6,1,9.7,28.6,7.6,1.7,3.2,5,45.4
17,Female,1st Year,1.8,0,149,Unknown,Doubt Solving,3,8,82,3,1,7.7,27.6,4.8,2.5,4.7,8,52.9
21,Male,1st Year,2.8,1,143,ChatGPT+Gemini,Notes,10,76,39,10,10,3.3,-9.6,4.9,2.1,4.5,3,78.6
19,Male,1st Year,0.7,1,105,Copilot,Notes,3,20,105,5,5,3.4,-19.7,4.7,4.8,0.5,4,52.1
23,Female,10th,1.2,1,117,Copilot,Coding,3,91,39,8,9,6.2,25.0,5.3,3.6,1.6,5,39.1
